periode,price
1,29.27
2,30.63
3,30.25
4,31.38
5,32.0
6,31.59
7,30.36
8,30.37
9,29.23
10,29.6
11,29.98
12,30.55
13,30.85
14,30.26
15,30.83
16,29.75
17,27.6
18,29.23
19,29.66
20,28.46
21,27.31
22,26.41
23,26.41
24,26.73
25,28.29
26,27.63
27,27.84
28,26.87
29,27.12
30,28.08
31,29.08
32,30.38
33,29.75
34,26.3
35,18.83
36,13.26
37,10.42
38,13.34
39,14.3
40,12.78
41,11.15
42,15.9
43,14.77
44,15.27
45,15.0
46,17.94
47,18.75
48,16.6
49,18.83
50,18.73
51,19.38
52,20.29
53,21.37
54,19.73
55,19.59
56,19.96
57,18.51
58,16.7
59,16.94
60,16.01
61,17.08
62,17.99
63,17.51
64,15.16
65,16.31
66,15.18
67,13.37
68,13.58
69,15.32
70,17.24
71,17.03
72,18.15
73,20.19
74,20.42
75,19.9
76,20.27
77,18.31
78,18.83
79,20.13
80,19.94
81,19.89
82,21.82
83,22.68
84,21.54
85,20.28
86,18.54
87,17.4
88,17.07
89,20.69
90,27.32
91,39.51
92,35.23
93,28.85
94,28.44
95,21.54
96,19.16
97,19.63
98,20.96
99,21.13
100,20.56
101,21.68
102,22.26
103,22.23
104,23.37
105,21.48
106,19.12
107,18.9
108,18.68
109,19.44
110,20.85
111,22.11
112,21.6
113,21.87
114,21.48
115,21.71
116,20.62
117,19.89
118,19.5
119,20.26
120,20.6
121,20.44
122,20.53
123,20.02
124,18.85
125,17.88
126,18.29
127,18.79
128,16.92
129,15.43
130,14.17
131,15.19
132,14.48
133,14.79
134,16.9
135,18.31
136,19.37
137,19.77
138,17.56
139,18.39
140,18.19
141,18.05
142,17.76
143,18.39
144,18.49
145,19.17
146,20.38
147,18.89
148,17.4
149,17.56
150,17.84
151,17.54
152,17.64
153,18.18
154,19.55
155,17.74
156,19.54
157,21.47
158,21.2
159,19.76
160,20.92
161,20.42
162,22.25
163,24.38
164,23.35
165,23.75
166,25.92
167,24.15
168,20.3
169,20.41
170,20.21
171,20.88
172,19.8
173,20.14
174,19.61
175,21.18
176,21.08
177,19.15
178,17.64
179,17.21
180,15.44
181,15.61
182,15.39
183,15.2
184,14.18
185,14.21
186,13.34
187,16.14
188,14.42
189,11.22
190,12.05
191,12.75
192,12.27
193,16.76
194,18.66
195,16.84
196,19.29
197,20.53
198,22.11
199,24.51
200,21.75
201,24.59
202,25.6
203,27.64
204,30.43
205,26.9
206,25.74
207,29.01
208,32.5
209,27.43
210,33.12
211,30.84
212,32.7
213,33.82
214,26.8
215,28.66
216,27.39
217,26.29
218,28.46
219,28.37
220,26.25
221,26.35
